Dictionary Size,Time Removing from Front,Time removing from Back
0,0,0
100,0,0
200,0,1
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,1
900,1,1
1000,0,1
1100,0,1
1200,0,1
1300,0,1
1400,1,1
1500,1,1
1600,1,2
1700,1,1
1800,1,2
1900,1,3
2000,1,3
2100,1,2
2200,1,3
2300,2,4
2400,2,4
2500,2,5
2600,2,5
2700,2,4
2800,3,5
2900,3,7
3000,3,6
3100,3,7
3200,4,6
3300,4,7
3400,4,8
3500,4,8
3600,4,9
3700,4,9
3800,4,9
3900,6,10
4000,6,11
4100,5,10
4200,6,10
4300,6,13
4400,7,12
4500,7,12
4600,7,14
4700,8,14
4800,8,14
4900,8,16
5000,8,17
5100,10,19
5200,11,19
5300,10,19
5400,10,22
5500,10,21
5600,12,20
5700,11,22
5800,13,23
5900,13,24
6000,13,24
6100,14,24
6200,15,27
6300,17,28
6400,16,28
6500,15,29
6600,17,33
6700,16,30
6800,16,30
6900,20,31
7000,19,34
7100,19,35
7200,18,36
7300,19,35
7400,20,39
7500,21,38
7600,23,40
7700,23,40
7800,23,42
7900,25,43
8000,24,43
8100,25,44
8200,25,49
8300,28,50
8400,29,50
8500,27,50
8600,27,52
8700,28,54
8800,31,53
8900,31,58
9000,32,55
9100,32,55
9200,33,56
9300,35,59
9400,34,62
9500,36,64
9600,39,63
9700,38,69
9800,38,66
9900,40,67
10000,41,66
10100,41,71
10200,41,71
10300,43,76
10400,44,72
10500,44,77
10600,46,84
10700,46,81
10800,46,79
10900,50,85
11000,50,87
11100,50,87
11200,50,87
11300,51,96
11400,51,99
11500,55,94
11600,55,96
11700,57,95
11800,57,101
11900,59,104
12000,59,109
12100,60,109
12200,60,109
12300,61,109
12400,63,111
12500,65,110
12600,65,115
12700,67,122
12800,70,114
12900,73,115
13000,70,120
13100,73,117
13200,71,128
13300,73,128
13400,73,128
13500,75,131
13600,74,130
13700,78,134
13800,82,142
13900,79,140
14000,85,146
14100,85,148
14200,84,145
14300,92,151
14400,87,151
14500,89,158
14600,91,150
14700,91,153
14800,92,156
14900,92,165
15000,97,168
15100,100,166
15200,98,170
15300,99,177
15400,100,170
15500,102,181
15600,100,184
15700,104,179
15800,107,190
15900,105,186
16000,110,188
16100,108,191
16200,114,186
16300,109,186
16400,116,197
16500,119,196
16600,123,201
16700,117,195
16800,120,207
16900,126,218
17000,129,211
17100,132,212
17200,132,220
17300,134,223
17400,133,227
17500,136,225
17600,136,230
17700,135,229
17800,141,230
17900,142,243
18000,147,245
18100,146,247
18200,145,238
18300,149,254
18400,168,251
18500,152,247
18600,147,244
18700,164,263
18800,153,254
18900,160,253
19000,156,259
19100,164,256
19200,163,262
19300,170,265
19400,168,296
19500,168,283
19600,168,274
19700,171,282
19800,169,281
19900,170,305
