InputListSize,time using get method,time using the iterator,time using for each loop
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,1,0,0
1100,0,0,0
1200,0,0,0
1300,1,0,0
1400,1,0,0
1500,1,0,0
1600,1,0,0
1700,1,0,0
1800,1,0,0
1900,1,0,0
2000,1,0,0
2100,2,0,0
2200,2,0,0
2300,2,0,0
2400,2,0,0
2500,3,0,0
2600,3,0,0
2700,3,0,0
2800,3,0,0
2900,4,0,0
3000,4,0,0
3100,3,0,0
3200,4,0,0
3300,4,0,0
3400,5,0,0
3500,5,0,0
3600,6,0,0
3700,5,0,0
3800,6,0,0
3900,6,0,0
4000,6,0,0
4100,6,0,0
4200,8,0,0
4300,8,0,0
4400,8,0,0
4500,10,0,0
4600,9,0,0
4700,9,0,0
4800,11,0,0
4900,12,0,0
5000,11,0,0
5100,11,0,0
5200,12,0,0
5300,12,0,0
5400,13,0,0
5500,12,0,0
5600,13,0,0
5700,15,0,0
5800,15,0,0
5900,15,0,0
6000,16,0,0
6100,16,0,0
6200,18,0,0
6300,17,0,0
6400,18,0,0
6500,18,0,0
6600,20,0,0
6700,19,0,0
6800,24,0,0
6900,21,0,0
7000,21,0,0
7100,25,0,0
7200,23,0,0
7300,25,0,0
7400,29,0,0
7500,25,0,0
7600,28,0,0
7700,26,0,0
7800,30,0,0
7900,28,0,0
8000,27,0,0
8100,31,0,0
8200,31,0,0
8300,31,0,0
8400,32,0,0
8500,35,0,0
8600,32,0,0
8700,33,0,0
8800,35,0,0
8900,35,0,0
9000,37,0,0
9100,37,0,0
9200,40,0,0
9300,39,0,0
9400,40,0,0
9500,44,0,0
9600,45,0,0
9700,43,0,0
9800,44,0,0
9900,47,0,0
10000,44,0,0
10100,48,0,0
10200,51,0,0
10300,50,0,0
10400,50,0,0
10500,52,0,0
10600,54,0,0
10700,52,0,0
10800,53,0,0
10900,57,0,0
11000,54,0,0
11100,57,0,0
11200,56,0,0
11300,59,0,0
11400,60,0,0
11500,65,0,0
11600,61,0,0
11700,68,0,0
11800,60,0,0
11900,63,0,0
12000,67,0,0
12100,67,0,0
12200,69,0,0
12300,69,0,0
12400,73,0,0
12500,71,0,0
12600,79,0,0
12700,73,0,0
12800,74,0,0
12900,81,0,0
13000,76,0,0
13100,84,0,0
13200,79,0,0
13300,81,0,0
13400,82,0,0
13500,89,0,0
13600,90,0,0
13700,90,0,0
13800,91,0,0
13900,89,0,0
14000,89,0,0
14100,87,0,0
14200,92,0,0
14300,94,0,0
14400,97,0,0
14500,99,0,0
14600,97,0,0
14700,105,0,0
14800,101,0,0
14900,107,0,0
15000,110,0,0
15100,117,0,0
15200,111,0,0
15300,116,0,0
15400,118,0,0
15500,115,0,0
15600,113,0,0
15700,120,0,0
15800,120,0,0
15900,136,0,0
16000,126,0,0
16100,130,0,0
16200,122,0,0
16300,132,0,0
16400,133,0,0
16500,132,0,0
16600,140,0,0
16700,130,0,0
16800,138,0,0
16900,135,0,0
17000,143,0,0
17100,136,0,0
17200,147,0,0
17300,138,0,0
17400,148,0,0
17500,142,0,0
17600,145,0,0
17700,148,0,0
17800,154,0,0
17900,155,0,0
18000,157,0,0
18100,161,0,0
18200,161,0,0
18300,157,0,0
18400,154,0,0
18500,161,0,0
18600,163,0,0
18700,167,0,0
18800,171,0,0
18900,169,0,0
19000,170,0,0
19100,202,0,0
19200,170,0,0
19300,173,0,0
19400,178,0,0
19500,183,0,0
19600,182,0,0
19700,188,0,0
19800,189,0,0
19900,195,0,0
