Index being retrieved,Time taken to retrieve index 1000 times
0,0
100,0
200,0
300,0
400,1
500,1
600,1
700,1
800,1
900,2
1000,2
1100,2
1200,2
1300,3
1400,3
1500,3
1600,3
1700,3
1800,3
1900,3
2000,4
2100,3
2200,4
2300,5
2400,4
2500,5
2600,5
2700,5
2800,6
2900,6
3000,6
3100,5
3200,6
3300,6
3400,7
3500,7
3600,7
3700,7
3800,9
3900,8
4000,7
4100,7
4200,7
4300,7
4400,8
4500,9
4600,9
4700,9
4800,9
4900,9
5000,9
5100,11
5200,10
5300,9
5400,10
5500,10
5600,10
5700,11
5800,12
5900,13
6000,13
6100,12
6200,13
6300,13
6400,13
6500,15
6600,13
6700,13
6800,14
6900,13
7000,13
7100,14
7200,15
7300,14
7400,15
7500,16
7600,14
7700,14
7800,17
7900,15
8000,15
8100,16
8200,17
8300,17
8400,17
8500,18
8600,17
8700,19
8800,18
8900,19
9000,21
9100,19
9200,17
9300,29
9400,20
9500,20
9600,22
9700,24
9800,22
9900,22
10000,21
10100,23
10200,23
10300,21
10400,20
10500,20
10600,19
10700,21
10800,19
10900,22
11000,20
11100,24
11200,18
11300,18
11400,19
11500,19
11600,17
11700,16
11800,18
11900,16
12000,18
12100,17
12200,15
12300,16
12400,16
12500,17
12600,15
12700,17
12800,16
12900,14
13000,14
13100,15
13200,15
13300,13
13400,13
13500,13
13600,13
13700,12
13800,12
13900,14
14000,12
14100,11
14200,11
14300,13
14400,11
14500,11
14600,10
14700,10
14800,11
14900,10
15000,10
15100,9
15200,9
15300,9
15400,8
15500,9
15600,9
15700,8
15800,8
15900,8
16000,7
16100,7
16200,8
16300,6
16400,7
16500,6
16600,6
16700,7
16800,6
16900,6
17000,6
17100,6
17200,6
17300,5
17400,4
17500,5
17600,4
17700,4
17800,5
17900,4
18000,3
18100,3
18200,3
18300,3
18400,3
18500,3
18600,3
18700,2
18800,2
18900,2
19000,2
19100,2
19200,1
19300,1
19400,1
19500,1
19600,1
19700,1
19800,0
19900,0
