ListSizes,TestResult
0,0
1000,1
2000,2
3000,3
4000,4
5000,5
6000,6
7000,7
8000,8
9000,10
10000,10
11000,11
12000,11
13000,13
14000,13
15000,15
16000,16
17000,16
18000,18
19000,19
20000,18
21000,19
22000,22
23000,21
24000,23
25000,23
26000,24
27000,25
28000,25
29000,27
30000,30
31000,33
32000,34
33000,36
34000,36
35000,34
36000,33
37000,35
38000,36
39000,35
40000,39
41000,37
42000,38
43000,42
44000,41
45000,42
46000,46
47000,45
48000,43
49000,45
50000,49
51000,47
52000,49
53000,50
54000,51
55000,52
56000,56
57000,53
58000,55
59000,56
60000,57
61000,56
62000,58
63000,61
64000,60
65000,60
66000,63
67000,63
68000,65
69000,73
70000,80
71000,74
72000,70
73000,67
74000,73
75000,77
76000,77
77000,73
78000,76
79000,74
80000,75
81000,79
82000,75
83000,77
84000,85
85000,79
86000,83
87000,81
88000,82
89000,81
90000,89
91000,84
92000,86
93000,90
94000,91
95000,90
96000,97
97000,92
98000,95
99000,92
100000,96
101000,101
102000,99
103000,106
104000,99
105000,100
106000,102
107000,105
108000,112
109000,106
110000,108
111000,102
112000,116
113000,114
114000,108
115000,114
116000,114
117000,118
118000,119
119000,115
120000,115
121000,116
122000,118
123000,117
124000,116
125000,118
126000,116
127000,115
128000,121
129000,127
130000,124
131000,129
132000,128
133000,129
134000,128
135000,130
136000,130
137000,131
138000,129
139000,132
140000,137
141000,131
142000,136
143000,143
144000,142
145000,149
146000,164
147000,143
148000,137
149000,139
150000,147
151000,148
152000,147
153000,148
154000,154
155000,148
156000,149
157000,146
158000,149
159000,152
160000,155
161000,160
162000,160
163000,165
164000,159
165000,156
166000,157
167000,162
168000,166
169000,167
170000,163
171000,157
172000,167
173000,167
174000,166
175000,170
176000,173
177000,170
178000,170
179000,174
180000,176
181000,174
182000,174
183000,192
184000,173
185000,171
186000,179
187000,182
188000,183
189000,181
190000,175
191000,179
192000,180
193000,187
194000,182
195000,190
196000,188
197000,196
198000,186
199000,195
