K,TestResult
0,0
1000,208
2000,209
3000,218
4000,217
5000,215
6000,218
7000,223
8000,225
9000,234
10000,232
11000,230
12000,233
13000,252
14000,243
15000,250
16000,248
17000,249
18000,253
19000,260
20000,255
21000,255
22000,250
23000,249
24000,271
25000,259
26000,257
27000,261
28000,269
29000,268
30000,276
31000,264
32000,269
33000,267
34000,269
35000,268
36000,274
37000,273
38000,276
39000,279
40000,273
41000,285
42000,280
43000,274
44000,273
45000,284
46000,279
47000,282
48000,281
49000,286
50000,283
51000,290
52000,284
53000,289
54000,284
55000,293
56000,304
57000,288
58000,290
59000,299
60000,309
61000,290
62000,289
63000,287
64000,292
65000,292
66000,297
67000,287
68000,299
69000,293
70000,295
71000,290
72000,300
73000,300
74000,293
75000,295
76000,301
77000,296
78000,299
79000,307
80000,296
81000,298
82000,295
83000,309
84000,324
85000,323
86000,306
87000,305
88000,301
89000,320
90000,300
91000,306
92000,312
93000,309
94000,320
95000,306
96000,302
97000,305
98000,311
99000,313
100000,306
101000,304
102000,311
103000,315
104000,306
105000,307
106000,310
107000,312
108000,311
109000,315
110000,320
111000,308
112000,307
113000,317
114000,308
115000,318
116000,310
117000,318
118000,308
119000,322
120000,316
121000,318
122000,318
123000,318
124000,324
125000,334
126000,312
127000,319
128000,307
129000,310
130000,318
131000,337
132000,314
133000,317
134000,320
135000,321
136000,313
137000,312
138000,319
139000,325
140000,325
141000,326
142000,341
143000,326
144000,333
145000,346
146000,321
147000,334
148000,335
149000,321
150000,333
151000,319
152000,325
153000,323
154000,324
155000,321
156000,312
157000,316
158000,318
159000,335
160000,323
161000,332
162000,323
163000,333
164000,331
165000,357
166000,336
167000,324
168000,332
169000,321
170000,355
171000,331
172000,329
173000,341
174000,334
175000,327
176000,323
177000,344
178000,340
179000,326
180000,334
181000,334
182000,346
183000,338
184000,339
185000,338
186000,337
187000,349
188000,366
189000,352
190000,333
191000,333
192000,345
193000,333
194000,338
195000,325
196000,333
197000,336
198000,332
199000,329
