DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,1
2000,1,1,2
3000,2,2,4
4000,3,1,5
5000,4,3,4
6000,7,6,8
7000,8,5,9
8000,10,7,9
9000,13,7,10
10000,15,7,11
11000,21,12,17
12000,26,13,17
13000,28,13,20
14000,34,15,19
15000,36,18,18
16000,40,17,18
17000,51,19,19
18000,54,21,19
19000,62,23,20
20000,67,24,21
21000,93,38,35
22000,107,36,37
23000,109,36,35
24000,120,44,35
25000,130,49,37
26000,149,48,36
27000,156,51,40
28000,166,54,38
29000,191,55,38
30000,197,64,40
31000,199,70,40
32000,224,71,47
33000,232,76,41
34000,257,79,45
35000,258,86,41
36000,285,78,39
37000,294,80,41
38000,321,87,40
39000,342,92,44
40000,364,98,47
41000,457,134,76
42000,524,131,75
43000,540,152,72
44000,596,135,76
45000,582,149,74
46000,619,160,78
47000,692,160,78
48000,649,157,85
49000,656,172,75
50000,743,168,75
51000,728,178,76
52000,793,178,79
53000,866,194,77
54000,903,203,80
55000,1163,212,83
56000,901,209,78
57000,934,218,81
58000,944,214,82
59000,937,241,78
60000,964,237,78
61000,1041,239,80
62000,1109,249,80
63000,1046,253,98
64000,1219,263,80
65000,1263,272,82
66000,1226,280,81
67000,1209,290,94
68000,1267,301,87
69000,1269,319,81
70000,1487,317,87
71000,1633,341,91
72000,1818,335,85
73000,1617,358,86
74000,2013,339,89
75000,2031,364,86
76000,-18569,379,89
77000,1802,427,88
78000,1931,434,157
79000,1937,462,95
